# alpha  beta  energy  variance  acceptance
0.950  0.220  3.29574  0.57178  0.496
0.950  0.233  3.27600  0.55071  0.497
0.950  0.247  3.26382  0.53780  0.498
0.950  0.260  3.25070  0.55629  0.493
0.950  0.273  3.23657  0.51492  0.502
0.950  0.287  3.23023  0.48327  0.470
0.950  0.300  3.21962  0.48350  0.498
1.000  0.220  3.24728  0.52240  0.437
1.000  0.233  3.23205  0.50476  0.454
1.000  0.247  3.22307  0.48971  0.436
1.000  0.260  3.21132  0.47956  0.483
1.000  0.273  3.20101  0.46654  0.440
1.000  0.287  3.18967  0.52877  0.387
1.000  0.300  3.18147  0.46598  0.391
1.050  0.220  3.21460  0.48312  0.477
1.050  0.233  3.20012  0.48194  0.462
1.050  0.247  3.19188  0.47261  0.462
1.050  0.260  3.18095  0.47222  0.498
1.050  0.273  3.17181  0.45719  0.499
1.050  0.287  3.16155  0.45435  0.503
1.050  0.300  3.15646  0.43115  0.498
1.100  0.220  3.18827  0.47362  0.495
1.100  0.233  3.17731  0.47768  0.502
1.100  0.247  3.16759  0.46169  0.500
1.100  0.260  3.15990  0.45025  0.499
1.100  0.273  3.15055  0.45943  0.499
1.100  0.287  3.14446  0.44168  0.497
1.100  0.300  3.13678  0.45601  0.498
1.150  0.220  3.17050  0.49968  0.497
1.150  0.233  3.16165  0.49306  0.499
1.150  0.247  3.15303  0.48063  0.493
1.150  0.260  3.14652  0.44715  0.492
1.150  0.273  3.13972  0.44502  0.489
1.150  0.287  3.13229  0.46071  0.492
1.150  0.300  3.12613  0.44962  0.498
